title,id
Aldnoah.Zero,8594
Oda Nobuna no Yabou,4175
Magi: The Kingdom of Magic,6629
Omamori Himari,150
Claymore,7
Log Horizon 2nd Season,8438
Mekakucity Actors,8220
Corpse Party: Tortured Souls - Bougyaku Sareta Tamashii no Jukyou,5084
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen",14630
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,10261
Ookami Shoujo to Kuro Ouji,9341
ReLIFE,12191
Nagi no Asukara,6303
Shakugan no Shana III (Final),2082
Dance in the Vampire Bund,135
Air Gear,8
No.6,1979
Asu no Yoichi!,47
Suisei no Gargantia,5846
Hoshizora e Kakaru Hashi,1901
Plastic Memories,10267
DearS,66
Amagi Brilliant Park,9060
Akagami no Shirayukihime,11722
Sekai-ichi Hatsukoi 2,2081
Ookami to Koushinryou II,127
Seikon no Qwaser,808
Gangsta.,11539
Haiyore! Nyaruko-san,3344
Junjou Romantica 2,837
Gekkan Shoujo Nozaki-kun,8703
Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,6410
Gakusen Toshi Asterisk,13917
Uta no☆Prince-sama♪ Maji Love 1000%,1966
Fate/stay night: Unlimited Blade Works 2nd Season,10646
Kono Subarashii Sekai ni Shukufuku wo! 2,16209
Suzumiya Haruhi no Yuuutsu,111
Motto To LOVE-Ru,1469
Diabolik Lovers,6239
Nurarihyon no Mago,1253
Yumekui Merry,1594
Samurai Champloo,585
Code:Breaker,4816
Chobits,70
The Legend of Korra: Book 1 - Air,3158
Grisaia no Rakuen,11407
ChäoS;HEAd,69
Nyan Koi,62
Seirei Tsukai no Blade Dance,6586
Mob Psycho 100,15463
Fortune Arterial: Akai Yakusoku,1471
K: Return of Kings,12294
Violet Evergarden,17007
Haikyuu!! Second Season,12329
Devil May Cry,65
Mahou Sensou,7680
Baka to Test to Shoukanjuu Ni!,1985
Digimon Adventure 02,234
Shijou Saikyou no Deshi Kenichi,367
Full Metal Panic!,55
Prison School,12878
Shinsekai yori,4865
Kamikaze Kaitou Jeanne,712
Koi to Senkyo to Chocolate,4172
Barakamon,7881
Brave 10,2366
To LOVE-Ru Darkness,4166
Madan no Ou to Vanadis,6584
Psycho-Pass 2,7458
Hakuouki,886
God Eater,10384
Bokura ga Ita,197
Maoyuu Maou Yuusha,5213
KissXsis OVA,2185
Usagi Drop,1981
Youjo Senki,15705
Monster Musume no Iru Nichijou,11398
Dog Days,1875
Nisekoi:,10040
Kiznaiver,14897
Kekkai Sensen,9853
Maji de Watashi ni Koi Shinasai!,2079
Black Lagoon: The Second Barrage,68
Sekirei,96
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,5195
Papa no IuKoto wo Kikinasai,2369
Ookami-san to Shichinin no Nakama-tachi,1249
Akuma no Riddle,6781
Kami nomi zo Shiru Sekai Megami-hen,6302
Karneval,5120
Gantz,265
Akaneiro ni Somaru Saka,100
Bungou Stray Dogs,14335
Shugo Chara!,622
Shinrei Tantei Yakumo,1464
Ga-Rei: Zero,262
Ano Natsu de Matteru,2153
Dragon Crisis!,1601
Nurarihyon no Mago: Sennen Makyou,1969
Overlord II,18847
Jormungand,3338
Acchi Kocchi,3248
Hyakka Ryouran Samurai Girls,1381
Higashi no Eden,160
Free! Eternal Summer,8678
Seikoku no Dragonar,6585
Danshi Koukousei no Nichijou,2371
Uragiri wa Boku no Namae o Shitteiru,926
Amagami SS,1165
Ajin,14867
Love Stage!!,6318
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,19588
Itsuka Tenma no Kuro Usagi,1984
Orange,15813
Hana-Saku Iroha,1873
K-ON!!,898
Princess Lover!,146
Black Cat,171
Yuri!!! on ICE,16259
Monogatari Series: Second Season,5934
InuYasha: Kanketsu-hen,362
Made in Abyss,18452
Cowboy Bebop,225
Shokugeki no Souma: San no Sara,20832
Great Teacher Onizuka,73
Denpa Onna to Seishun Otoko,1889
Toaru Kagaku no Railgun S,5499
Aldnoah.Zero 2,9961
Dragon Ball GT,239
91 Days,16257
Digimon Tamers,237
NHK ni Youkoso!,52
Rokudenashi Majutsu Koushi to Akashic Records,16217
Ao no Exorcist: Kyoto Fujouou-hen,17218
Working!!,831
Soredemo Sekai wa Utsukushii,8362
NANA,42
Seiken Tsukai no World Break,9960
